RT @TheMeemStreams: Funny #Liberals can differentiate 85 genders but can't tell the difference between illegal and legal immigrants smh 🤦‍…,negative,"Sentiment(polarity=-0.016666666666666663, subjectivity=0.5666666666666667)"
"RT @kumailn: ""Catastrophic weather anomalies caused by climate change are pummeling us repeatedly. What do we do?""

""Deport the immigrants.""",negative,"Sentiment(polarity=0.0, subjectivity=0.0)"
"NEW YORK (AP) - 15 states and Washington, D.C., sue Trump administration over plan to end protections for young immigrants.",positive,"Sentiment(polarity=0.11818181818181818, subjectivity=0.42727272727272725)"
RT @_Makada_: My parents are both immigrants who came to this country LEGALLY. They followed the law. If you want to come to America follow…,positive,"Sentiment(polarity=0.2, subjectivity=0.2)"
"RT @DanRiehl: Angel Mom Mendoza: Politicians Fighting for Illegal Immigrants, Not American Citizens https://t.co/1rTeDgZJda via @BreitbartN…",negative,"Sentiment(polarity=-0.25, subjectivity=0.25)"
"RT @APWestRegion: BREAKING: 15 states and Washington, D.C., sue Trump administration over plan to end protections for young immigrants.",positive,"Sentiment(polarity=0.1, subjectivity=0.4)"
"RT @APWestRegion: BREAKING: 15 states and Washington, D.C., sue Trump administration over plan to end protections for young immigrants.",positive,"Sentiment(polarity=0.1, subjectivity=0.4)"
@realDonaldTrump What? Only illegal immigrants are dreamers? What about legally immigrated individuals who are now citizens?,negative,"Sentiment(polarity=-0.09999999999999999, subjectivity=0.5666666666666667)"
RT @shannonrwatts: Says the child of an immigrant who married two immigrants and who hires immigrants and makes his products in other count…,positive,"Sentiment(polarity=0.0625, subjectivity=0.3125)"
"RT @140e46a1a37b45c: This country was founded by  immigrants. We are not a business, we are the people of the United States of America. #DA…",negative,"Sentiment(polarity=0.0, subjectivity=0.0)"
RT @USFreedomArmy: Illegal immigrants: This requires a long ladder. Join our patriot army at https://t.co/oSPeY3QMpH. Enlist today!! https:…,negative,"Sentiment(polarity=-0.2890625, subjectivity=0.45)"
RT @harikondabolu: America hating immigrants is like a body rejecting its own blood.,positive,"Sentiment(polarity=0.6, subjectivity=1.0)"
"RT @AntonioArellano: UNDOCUMENTED IMMIGRANTS
KNOW YOUR RIGHTS:

RT these images—people need them now more than ever!

#DACA https://t.co/8Y…",positive,"Sentiment(polarity=0.625, subjectivity=0.5)"
"RT @voxdotcom: The lives of 800,000 young immigrants, who came to the US as children, are in limbo. https://t.co/dMaECcd2tB",positive,"Sentiment(polarity=0.1, subjectivity=0.4)"
"RT @AntonioArellano: UNDOCUMENTED IMMIGRANTS
KNOW YOUR RIGHTS:

RT these images—people need them now more than ever!

#DACA https://t.co/8Y…",positive,"Sentiment(polarity=0.625, subjectivity=0.5)"
